Dataset.1,Cell_type.1,RE.1,forcato_id.1,cluster_id.1,Dataset.2,Cell_type.2,RE.2,forcato_id.2,cluster_id.2
Dixon_2012,H1-hESC,HindIII,A,Dixon2012_hESC_HindIII_A,Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A
Dixon_2012,H1-hESC,HindIII,A,Dixon2012_hESC_HindIII_A,Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B
Dixon_2012,H1-hESC,HindIII,B,Dixon2012_hESC_HindIII_B,Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A
Dixon_2012,H1-hESC,HindIII,B,Dixon2012_hESC_HindIII_B,Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E
Jin,H1-hESC,HindIII,A,Jin_hESC_HindIII_A,Jin,IMR90,HindIII,F,Jin_IMR90_HindIII_F
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,H,HIC003,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,A,HIC020,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,B,HIC021,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,C1,HIC022,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,C2,HIC023,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,D,HIC024,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,E1,HIC025,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,E2,HIC026,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,F,HIC027,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,G1,HIC028,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,MboI,G2,HIC029,Rao,IMR90,MboI,B2,HIC056
