Dataset.1,Cell_type.1,RE.1,forcato_id.1,cluster_id.1,Dataset.2,Cell_type.2,RE.2,forcato_id.2,cluster_id.2
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,DpnII,A1,HIC038,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,DpnII,A2,HIC039,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,DpnII,B1,HIC040,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,DpnII,B2,HIC041,Rao,IMR90,MboI,B2,HIC056
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,A1,HIC050
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,A2,HIC051
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,A3,HIC052
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,A4,HIC053
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,A5,HIC054
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,B1,HIC055
Rao,GM12878,DpnII,A3,HIC042,Rao,IMR90,MboI,B2,HIC056
