Dataset.1,Cell_type.1,RE.1,forcato_id.1,cluster_id.1,Dataset.2,Cell_type.2,RE.2,forcato_id.2,cluster_id.2
Lieberman-Aiden,GM06990,HindIII,A_HindIII,Aiden_GM_HindIII_A_HindIII,Lieberman-Aiden,GM06990,NcoI,A_NcoI,Aiden_GM_NcoI_A_NcoI
Lieberman-Aiden,GM06990,HindIII,A_repeat,Aiden_GM_HindIII_A_repeat,Lieberman-Aiden,GM06990,NcoI,A_NcoI,Aiden_GM_NcoI_A_NcoI
Lieberman-Aiden,GM06990,HindIII,B,Aiden_GM_HindIII_B,Lieberman-Aiden,GM06990,NcoI,A_NcoI,Aiden_GM_NcoI_A_NcoI
Rao,GM12878,MboI,H,HIC003,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,H,HIC003,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,H,HIC003,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,H,HIC003,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,H,HIC003,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,A,HIC020,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,A,HIC020,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,A,HIC020,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,A,HIC020,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,A,HIC020,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,B,HIC021,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,B,HIC021,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,B,HIC021,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,B,HIC021,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,B,HIC021,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,C1,HIC022,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,C1,HIC022,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,C1,HIC022,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,C1,HIC022,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,C1,HIC022,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,C2,HIC023,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,C2,HIC023,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,C2,HIC023,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,C2,HIC023,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,C2,HIC023,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,D,HIC024,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,D,HIC024,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,D,HIC024,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,D,HIC024,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,D,HIC024,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,E1,HIC025,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,E1,HIC025,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,E1,HIC025,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,E1,HIC025,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,E1,HIC025,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,E2,HIC026,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,E2,HIC026,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,E2,HIC026,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,E2,HIC026,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,E2,HIC026,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,F,HIC027,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,F,HIC027,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,F,HIC027,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,F,HIC027,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,F,HIC027,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,G1,HIC028,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,G1,HIC028,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,G1,HIC028,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,G1,HIC028,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,G1,HIC028,Rao,GM12878,DpnII,A3,HIC042
Rao,GM12878,MboI,G2,HIC029,Rao,GM12878,DpnII,A1,HIC038
Rao,GM12878,MboI,G2,HIC029,Rao,GM12878,DpnII,A2,HIC039
Rao,GM12878,MboI,G2,HIC029,Rao,GM12878,DpnII,B1,HIC040
Rao,GM12878,MboI,G2,HIC029,Rao,GM12878,DpnII,B2,HIC041
Rao,GM12878,MboI,G2,HIC029,Rao,GM12878,DpnII,A3,HIC042
Dixon_2015,H1-hESC,HindIII,A,Dixon2015_hESC_HindIII_A,Dixon_2015,H1-hESC,HindIII,B,Dixon2015_hESC_HindIII_B
