Dataset.1,Cell_type.1,RE.1,forcato_id.1,cluster_id.1,Dataset.2,Cell_type.2,RE.2,forcato_id.2,cluster_id.2
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,A1,HIC050
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,A2,HIC051
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,A3,HIC052
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,A4,HIC053
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,A5,HIC054
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,B1,HIC055
Dixon_2012,IMR90,HindIII,A,Dixon2012_IMR90_HindIII_A,Rao,IMR90,MboI,B2,HIC056
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,A1,HIC050
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,A2,HIC051
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,A3,HIC052
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,A4,HIC053
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,A5,HIC054
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,B1,HIC055
Dixon_2012,IMR90,HindIII,B,Dixon2012_IMR90_HindIII_B,Rao,IMR90,MboI,B2,HIC056
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,A1,HIC050
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,A2,HIC051
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,A3,HIC052
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,A4,HIC053
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,A5,HIC054
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,B1,HIC055
Jin,IMR90,HindIII,A,Jin_IMR90_HindIII_A,Rao,IMR90,MboI,B2,HIC056
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,A1,HIC050
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,A2,HIC051
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,A3,HIC052
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,A4,HIC053
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,A5,HIC054
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,B1,HIC055
Jin,IMR90,HindIII,B,Jin_IMR90_HindIII_B,Rao,IMR90,MboI,B2,HIC056
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,A1,HIC050
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,A2,HIC051
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,A3,HIC052
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,A4,HIC053
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,A5,HIC054
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,B1,HIC055
Jin,IMR90,HindIII,C,Jin_IMR90_HindIII_C,Rao,IMR90,MboI,B2,HIC056
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,A1,HIC050
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,A2,HIC051
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,A3,HIC052
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,A4,HIC053
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,A5,HIC054
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,B1,HIC055
Jin,IMR90,HindIII,D,Jin_IMR90_HindIII_D,Rao,IMR90,MboI,B2,HIC056
Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E,Rao,IMR90,MboI,A1,HIC050
Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E,Rao,IMR90,MboI,A2,HIC051
Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E,Rao,IMR90,MboI,A3,HIC052
Jin,IMR90,HindIII,E,Jin_IMR90_HindIII_E,Rao,IMR90,MboI,A4,HIC053
