Dataset,Cell_type,RE,SRA,forcato_id,cluster_id,on_cluster,tech.grp,biol.grp,lab.grp,enz.grp,cell.grp,cellenz.grp,labenz.grp
Lieberman-Aiden,GM06990,HindIII,SRR027956,A_HindIII,Aiden_GM_HindIII_A_HindIII,FALSE,1,1,,1,,,
Lieberman-Aiden,GM06990,HindIII,SRR027957,A_repeat,Aiden_GM_HindIII_A_repeat,FALSE,1,1,,1,,,
Lieberman-Aiden,GM06990,HindIII,"SRR027958,SRR027959",B,Aiden_GM_HindIII_B,FALSE,,1,,1,,,
Lieberman-Aiden,GM06990,NcoI,"SRR027960,SRR027961",A_NcoI,Aiden_GM_NcoI_A_NcoI,FALSE,,,,1,,,
Sexton,Fly_Embryo,DpnII,"SRR389762,SRR389763,SRR389764,SRR389765,SRR389766,SRR389767,SRR389768",A,Sexton_fly_DpnII_A,FALSE,,,,,,,
Dixon_2012,H1-hESC,HindIII,"SRR400260,SRR400261,SRR400262,SRR400263",A,Dixon2012_hESC_HindIII_A,FALSE,,2,2,,1,,
Dixon_2012,H1-hESC,HindIII,"SRR442155,SRR442156,SRR442157",B,Dixon2012_hESC_HindIII_B,FALSE,,2,2,,1,,
Dixon_2012,IMR90,HindIII,"SRR400264,SRR400265,SRR400266,SRR400267,SRR400268",A,Dixon2012_IMR90_HindIII_A,FALSE,,3,1,,1,,1
Dixon_2012,IMR90,HindIII,"SRR442158,SRR442159,SRR442160",B,Dixon2012_IMR90_HindIII_B,FALSE,,3,1,,1,,1
Jin,H1-hESC,HindIII,"SRR639047,SRR639048,SRR639049",A,Jin_hESC_HindIII_A,FALSE,,,2,,2,,
Jin,IMR90,HindIII,"SRR639025,SRR639026,SRR639027,SRR639028,SRR639029",A,Jin_IMR90_HindIII_A,FALSE,,4,1,,2,,1
Jin,IMR90,HindIII,"SRR639030,SRR639031,SRR639032,SRR639033",B,Jin_IMR90_HindIII_B,FALSE,,4,1,,2,,1
Jin,IMR90,HindIII,"SRR881990,SRR881991,SRR881992",C,Jin_IMR90_HindIII_C,FALSE,,4,1,,2,,1
Jin,IMR90,HindIII,"SRR881993,SRR881994,SRR881995",D,Jin_IMR90_HindIII_D,FALSE,,4,1,,2,,1
Jin,IMR90,HindIII,SRR881996,E,Jin_IMR90_HindIII_E,FALSE,,4,1,,2,,1
Jin,IMR90,HindIII,SRR881997,F,Jin_IMR90_HindIII_F,FALSE,,4,1,,2,,1
Rao,GM12878,MboI,SRR1658572,H,HIC003,TRUE,,5,,2,3,,
Rao,GM12878,MboI,SRR1658592,A,HIC020,TRUE,,5,,2,3,,
Rao,GM12878,MboI,SRR1658593,B,HIC021,TRUE,,5,,2,3,,
Rao,GM12878,MboI,"SRR1658594,SRR1658595",C1,HIC022,TRUE,2,5,,2,3,,
Rao,GM12878,MboI,"SRR1658596,SRR1658597",C2,HIC023,TRUE,2,5,,2,3,,
Rao,GM12878,MboI,SRR1658598,D,HIC024,TRUE,,5,,2,3,,
Rao,GM12878,MboI,SRR1658599,E1,HIC025,TRUE,3,5,,2,3,,
Rao,GM12878,MboI,SRR1658600,E2,HIC026,TRUE,3,5,,2,3,,
Rao,GM12878,MboI,SRR1658601,F,HIC027,TRUE,,5,,2,3,,
Rao,GM12878,MboI,SRR1658602,G1,HIC028,TRUE,4,5,,2,3,,
Rao,GM12878,MboI,SRR1658603,G2,HIC029,TRUE,4,5,,2,3,,
Rao,GM12878,DpnII,SRR1658644,A1,HIC038,TRUE,5,6,,2,,1,
Rao,GM12878,DpnII,SRR1658645,A2,HIC039,TRUE,5,6,,2,,1,
Rao,GM12878,DpnII,SRR1658646,B1,HIC040,TRUE,6,6,,2,,1,
Rao,GM12878,DpnII,SRR1658647,B2,HIC041,TRUE,6,6,,2,,1,
Rao,GM12878,DpnII,SRR1658648,A3,HIC042,TRUE,5,6,,2,,1,
Rao,IMR90,MboI,SRR1658672,A1,HIC050,TRUE,7,7,,,3,1,1
Rao,IMR90,MboI,SRR1658673,A2,HIC051,TRUE,7,7,,,3,1,1
Rao,IMR90,MboI,SRR1658674,A3,HIC052,TRUE,7,7,,,3,1,1
Rao,IMR90,MboI,SRR1658675,A4,HIC053,TRUE,7,7,,,3,1,1
Rao,IMR90,MboI,SRR1658676,A5,HIC054,TRUE,7,7,,,3,1,1
Rao,IMR90,MboI,SRR1658677,B1,HIC055,TRUE,8,7,,,3,1,1
Rao,IMR90,MboI,SRR1658678,B2,HIC056,TRUE,8,7,,,3,1,1
Dixon_2015,H1-hESC,HindIII,"SRR1030718,SRR1030719,SRR1030720,SRR1030721",A,Dixon2015_hESC_HindIII_A,FALSE,,8,2,3,,,
Dixon_2015,H1-hESC,HindIII,"SRR1030722,SRR1030723,SRR1030724,SRR1030725,SRR1030726,SRR1030727",B,Dixon2015_hESC_HindIII_B,FALSE,,8,2,3,,,
