Cell_type,RE,forcato_id,sample_id,SRA,read.len,dangling.L,dangling.R,maxlen,dmin
GM12878,MboI,H,HIC003,SRR1658572,101,0,3,900,1000
GM12878,MboI,A,HIC020,SRR1658592,101,0,3,900,1000
GM12878,MboI,B,HIC021,SRR1658593,101,0,3,900,1000
GM12878,MboI,C1,HIC022,"SRR1658594,SRR1658595",101,0,3,900,1000
GM12878,MboI,C2,HIC023,"SRR1658596,SRR1658597",101,0,3,900,1000
GM12878,MboI,D,HIC024,SRR1658598,101,0,3,900,1000
GM12878,MboI,E1,HIC025,SRR1658599,101,0,3,900,1000
GM12878,MboI,E2,HIC026,SRR1658600,101,0,3,900,1000
GM12878,MboI,F,HIC027,SRR1658601,101,0,3,900,1000
GM12878,MboI,G1,HIC028,SRR1658602,96,0,3,900,1000
GM12878,MboI,G2,HIC029,SRR1658603,96,0,3,900,1000
GM12878,DpnII,A1,HIC038,SRR1658644,101,0,3,900,1000
GM12878,DpnII,A2,HIC039,SRR1658645,101,0,3,900,1000
GM12878,DpnII,B1,HIC040,SRR1658646,101,0,3,900,1000
GM12878,DpnII,B2,HIC041,SRR1658647,101,0,3,900,1000
GM12878,DpnII,A3,HIC042,SRR1658648,101,0,3,900,1000
IMR90,MboI,A1,HIC050,SRR1658672,101,0,3,900,1000
IMR90,MboI,A2,HIC051,SRR1658673,101,0,3,900,1000
IMR90,MboI,A3,HIC052,SRR1658674,101,0,3,900,1000
IMR90,MboI,A4,HIC053,SRR1658675,101,0,3,900,1000
IMR90,MboI,A5,HIC054,SRR1658676,101,0,3,900,1000
IMR90,MboI,B1,HIC055,SRR1658677,101,0,3,900,1000
IMR90,MboI,B2,HIC056,SRR1658678,101,0,3,900,1000
