tno tbegin category N
1 3322801 dangling.L 380
1 3322801 dangling.R 168
1 3322801 random 15831
1 3322801 rejoined 410
2 3766921 dangling.L 361
2 3766921 dangling.R 1769
2 3766921 random 12597
2 3766921 rejoined 3009
3 3934686 dangling.L 653
3 3934686 dangling.R 280
3 3934686 random 1527
3 3934686 rejoined 1335
4 4213892 dangling.L 23
4 4213892 dangling.R 363
4 4213892 random 14622
4 4213892 rejoined 308
5 4257011 dangling.L 1321
5 4257011 dangling.R 1483
5 4257011 random 28782
5 4257011 rejoined 3856
6 4305456 dangling.L 108
6 4305456 dangling.R 219
6 4305456 random 4642
6 4305456 rejoined 321
7 4396578 dangling.L 249
7 4396578 dangling.R 65
7 4396578 random 866
7 4396578 rejoined 462
8 4476644 dangling.L 697
8 4476644 dangling.R 131
8 4476644 random 11503
8 4476644 rejoined 648
9 4698169 dangling.L 1127
9 4698169 dangling.R 863
9 4698169 random 22862
9 4698169 rejoined 3320
10 4838823 dangling.L 1562
10 4838823 dangling.R 1486
10 4838823 random 17782
10 4838823 rejoined 4023
11 4942593 dangling.L 41
11 4942593 dangling.R 495
11 4942593 random 9647
11 4942593 rejoined 2894
12 5001662 dangling.L 1030
12 5001662 dangling.R 1088
12 5001662 random 18909
12 5001662 rejoined 2373
13 5040904 dangling.L 1048
13 5040904 dangling.R 2525
13 5040904 random 4780
13 5040904 rejoined 2800
14 5050308 dangling.L 767
14 5050308 dangling.R 910
14 5050308 random 10719
14 5050308 rejoined 2957
15 5067578 dangling.L 546
15 5067578 dangling.R 153
15 5067578 random 6189
15 5067578 rejoined 1240
16 5071900 dangling.L 245
16 5071900 dangling.R 1606
16 5071900 random 19912
16 5071900 rejoined 2106
17 5088038 dangling.L 1132
17 5088038 dangling.R 1311
17 5088038 random 12033
17 5088038 rejoined 3929
18 5097919 dangling.L 537
18 5097919 dangling.R 63
18 5097919 random 11844
18 5097919 rejoined 202
19 5117909 dangling.L 145
19 5117909 dangling.R 942
19 5117909 random 7309
19 5117909 rejoined 1603
20 5297831 dangling.L 1099
20 5297831 dangling.R 725
20 5297831 random 18917
20 5297831 rejoined 3219
21 5306536 dangling.L 580
21 5306536 dangling.R 389
21 5306536 random 5354
21 5306536 rejoined 3520
22 5388204 dangling.L 189
22 5388204 dangling.R 422
22 5388204 random 10017
22 5388204 rejoined 1556
23 5447198 dangling.L 1087
23 5447198 dangling.R 499
23 5447198 random 34198
23 5447198 rejoined 1046
24 5457064 dangling.L 137
24 5457064 dangling.R 785
24 5457064 random 24686
24 5457064 rejoined 1033
25 5460107 dangling.L 692
25 5460107 dangling.R 852
25 5460107 random 34549
25 5460107 rejoined 1429
26 5474190 dangling.L 477
26 5474190 dangling.R 526
26 5474190 random 4008
26 5474190 rejoined 1819
27 5560076 dangling.L 1557
27 5560076 dangling.R 670
27 5560076 random 3022
27 5560076 rejoined 2319
28 5567574 dangling.L 486
28 5567574 dangling.R 67
28 5567574 random 6198
28 5567574 rejoined 570
29 5654312 dangling.L 1060
29 5654312 dangling.R 329
29 5654312 random 15629
29 5654312 rejoined 1477
30 5695578 dangling.L 1096
30 5695578 dangling.R 498
30 5695578 random 11150
30 5695578 rejoined 2934
31 5725818 dangling.L 988
31 5725818 dangling.R 549
31 5725818 random 13165
31 5725818 rejoined 2814
32 5770902 dangling.L 410
32 5770902 dangling.R 137
32 5770902 random 19006
32 5770902 rejoined 743
33 5893608 dangling.R 1131
33 5893608 random 20265
33 5893608 rejoined 2088
34 5924317 dangling.L 865
34 5924317 dangling.R 210
34 5924317 random 15175
34 5924317 rejoined 1944
35 6400083 dangling.L 2654
35 6400083 dangling.R 1186
35 6400083 random 21518
35 6400083 rejoined 5099
36 6418238 dangling.L 92
36 6418238 dangling.R 290
36 6418238 random 2363
36 6418238 rejoined 589
37 6497535 dangling.L 225
37 6497535 dangling.R 64
37 6497535 random 3098
37 6497535 rejoined 388
38 6502053 dangling.L 522
38 6502053 dangling.R 1204
38 6502053 random 18668
38 6502053 rejoined 3096
39 6529093 dangling.L 507
39 6529093 dangling.R 517
39 6529093 random 38474
39 6529093 rejoined 1797
40 6903935 dangling.L 463
40 6903935 dangling.R 964
40 6903935 random 2824
40 6903935 rejoined 3291
41 6914592 dangling.L 48
41 6914592 dangling.R 1074
41 6914592 random 10252
41 6914592 rejoined 1799
42 6995799 dangling.L 143
42 6995799 dangling.R 484
42 6995799 random 7672
42 6995799 rejoined 1583
43 7008506 dangling.L 416
43 7008506 dangling.R 608
43 7008506 random 10100
43 7008506 rejoined 1929
44 7130758 dangling.L 748
44 7130758 dangling.R 141
44 7130758 random 9136
44 7130758 rejoined 1390
45 7239810 dangling.L 13
45 7239810 dangling.R 422
45 7239810 random 1612
45 7239810 rejoined 742
46 7491615 dangling.L 10
46 7491615 dangling.R 54
46 7491615 random 1740
46 7491615 rejoined 129
47 7496929 dangling.L 144
47 7496929 dangling.R 275
47 7496929 random 8480
47 7496929 rejoined 788
48 7631449 dangling.L 1452
48 7631449 dangling.R 349
48 7631449 random 9759
48 7631449 rejoined 3829
49 7686559 dangling.L 637
49 7686559 dangling.R 500
49 7686559 random 19105
49 7686559 rejoined 1783
50 9003684 dangling.L 119
50 9003684 dangling.R 751
50 9003684 random 12064
50 9003684 rejoined 1052
51 10092218 dangling.L 378
51 10092218 dangling.R 365
51 10092218 random 20584
51 10092218 rejoined 3016
52 10115538 dangling.L 125
52 10115538 dangling.R 92
52 10115538 random 5909
52 10115538 rejoined 428
53 10378868 dangling.L 368
53 10378868 dangling.R 307
53 10378868 random 2731
53 10378868 rejoined 828
54 10463080 dangling.L 487
54 10463080 dangling.R 354
54 10463080 random 610
54 10463080 rejoined 1398
55 10531438 dangling.L 67
55 10531438 dangling.R 78
55 10531438 random 6262
55 10531438 rejoined 159
56 10943770 dangling.L 1193
56 10943770 dangling.R 306
56 10943770 random 9678
56 10943770 rejoined 2259
57 11014796 dangling.L 32
57 11014796 dangling.R 566
57 11014796 random 18201
57 11014796 rejoined 663
58 12085372 dangling.L 1207
58 12085372 dangling.R 709
58 12085372 random 43241
58 12085372 rejoined 1574
59 12575987 dangling.L 806
59 12575987 dangling.R 1347
59 12575987 random 11325
59 12575987 rejoined 3638
60 12670557 dangling.L 943
60 12670557 dangling.R 576
60 12670557 random 15735
60 12670557 rejoined 3784
61 16509657 dangling.L 1103
61 16509657 dangling.R 284
61 16509657 random 13959
61 16509657 rejoined 2677
62 16854924 dangling.L 1633
62 16854924 dangling.R 229
62 16854924 random 9668
62 16854924 rejoined 888
63 17030108 dangling.L 494
63 17030108 dangling.R 744
63 17030108 random 4942
63 17030108 rejoined 2122
64 17430658 dangling.L 1097
64 17430658 dangling.R 835
64 17430658 random 17366
64 17430658 rejoined 3041
65 17468033 dangling.L 580
65 17468033 dangling.R 921
65 17468033 random 5590
65 17468033 rejoined 3821
66 17911623 dangling.L 110
66 17911623 dangling.R 46
66 17911623 random 16083
66 17911623 rejoined 255
67 18705804 dangling.L 195
67 18705804 dangling.R 774
67 18705804 random 5416
67 18705804 rejoined 1578
68 18823973 dangling.L 1410
68 18823973 dangling.R 742
68 18823973 random 20920
68 18823973 rejoined 2632
69 19185187 dangling.L 857
69 19185187 dangling.R 572
69 19185187 random 8250
69 19185187 rejoined 2560
70 21546652 dangling.L 716
70 21546652 dangling.R 1108
70 21546652 random 12945
70 21546652 rejoined 2629
71 21852332 dangling.L 219
71 21852332 dangling.R 138
71 21852332 random 1740
71 21852332 rejoined 738
72 23832866 dangling.L 229
72 23832866 dangling.R 34
72 23832866 random 3343
72 23832866 rejoined 561
73 23967163 dangling.L 95
73 23967163 dangling.R 234
73 23967163 random 3341
73 23967163 rejoined 747
74 24105010 dangling.L 22
74 24105010 dangling.R 15
74 24105010 random 6655
74 24105010 rejoined 72
75 24629818 dangling.L 241
75 24629818 dangling.R 829
75 24629818 random 3464
75 24629818 rejoined 1126
76 24935833 dangling.L 1167
76 24935833 dangling.R 775
76 24935833 random 6891
76 24935833 rejoined 3584
77 25073519 dangling.L 158
77 25073519 dangling.R 522
77 25073519 random 2183
77 25073519 rejoined 1858
78 25311192 dangling.L 435
78 25311192 dangling.R 465
78 25311192 random 5559
78 25311192 rejoined 1110
79 25579696 dangling.L 37
79 25579696 dangling.R 575
79 25579696 random 9526
79 25579696 rejoined 654
80 25680456 dangling.L 1425
80 25680456 dangling.R 1562
80 25680456 random 17030
80 25680456 rejoined 4689
81 25684527 dangling.L 8
81 25684527 dangling.R 25
81 25684527 random 1707
81 25684527 rejoined 193
82 25746230 dangling.L 626
82 25746230 dangling.R 1844
82 25746230 random 10855
82 25746230 rejoined 4498
83 26679150 dangling.L 208
83 26679150 dangling.R 243
83 26679150 random 13160
83 26679150 rejoined 606
84 27291010 dangling.L 126
84 27291010 dangling.R 230
84 27291010 random 7192
84 27291010 rejoined 321
85 28754068 dangling.L 62
85 28754068 dangling.R 397
85 28754068 random 6325
85 28754068 rejoined 841
86 28909156 dangling.L 692
86 28909156 dangling.R 800
86 28909156 random 2193
86 28909156 rejoined 1730
87 29038145 dangling.L 154
87 29038145 dangling.R 96
87 29038145 random 6135
87 29038145 rejoined 448
88 29049340 dangling.L 1114
88 29049340 dangling.R 714
88 29049340 random 14195
88 29049340 rejoined 1729
89 29121893 dangling.L 138
89 29121893 dangling.R 402
89 29121893 random 20894
89 29121893 rejoined 693
90 29175365 dangling.L 414
90 29175365 dangling.R 297
90 29175365 random 6090
90 29175365 rejoined 1364
91 29325818 dangling.L 662
91 29325818 dangling.R 42
91 29325818 random 2158
91 29325818 rejoined 687
92 29596272 dangling.L 52
92 29596272 dangling.R 367
92 29596272 random 3795
92 29596272 rejoined 636
93 29886965 dangling.L 269
93 29886965 dangling.R 638
93 29886965 random 37627
93 29886965 rejoined 2719
94 30104503 dangling.L 152
94 30104503 dangling.R 423
94 30104503 random 5961
94 30104503 rejoined 643
95 30249432 dangling.L 494
95 30249432 dangling.R 76
95 30249432 random 17048
