tno tbegin category N
1 3322801 dangling.L 440
1 3322801 dangling.R 196
1 3322801 random 18467
1 3322801 rejoined 543
2 3766921 dangling.L 591
2 3766921 dangling.R 2021
2 3766921 random 14030
2 3766921 rejoined 4379
3 3934686 dangling.L 1123
3 3934686 dangling.R 403
3 3934686 random 1514
3 3934686 rejoined 1935
4 4213892 dangling.L 40
4 4213892 dangling.R 495
4 4213892 random 16241
4 4213892 rejoined 619
5 4257011 dangling.L 1635
5 4257011 dangling.R 1559
5 4257011 random 38265
5 4257011 rejoined 5218
6 4305456 dangling.L 104
6 4305456 dangling.R 235
6 4305456 random 5866
6 4305456 rejoined 424
7 4396578 dangling.L 326
7 4396578 dangling.R 79
7 4396578 random 1094
7 4396578 rejoined 634
8 4476644 dangling.L 905
8 4476644 dangling.R 189
8 4476644 random 12159
8 4476644 rejoined 865
9 4698169 dangling.L 1871
9 4698169 dangling.R 977
9 4698169 random 29595
9 4698169 rejoined 4668
10 4838823 dangling.L 2202
10 4838823 dangling.R 1630
10 4838823 random 23999
10 4838823 rejoined 5119
11 4942593 dangling.L 41
11 4942593 dangling.R 701
11 4942593 random 13539
11 4942593 rejoined 3930
12 5001662 dangling.L 1243
12 5001662 dangling.R 1352
12 5001662 random 21095
12 5001662 rejoined 3059
13 5040904 dangling.L 1430
13 5040904 dangling.R 3333
13 5040904 random 4932
13 5040904 rejoined 3910
14 5050308 dangling.L 1020
14 5050308 dangling.R 1093
14 5050308 random 13405
14 5050308 rejoined 3845
15 5067578 dangling.L 676
15 5067578 dangling.R 155
15 5067578 random 7622
15 5067578 rejoined 1634
16 5071900 dangling.L 293
16 5071900 dangling.R 2103
16 5071900 random 28186
16 5071900 rejoined 3390
17 5088038 dangling.L 1226
17 5088038 dangling.R 1503
17 5088038 random 13370
17 5088038 rejoined 5420
18 5097919 dangling.L 777
18 5097919 dangling.R 79
18 5097919 random 15483
18 5097919 rejoined 349
19 5117909 dangling.L 161
19 5117909 dangling.R 1290
19 5117909 random 8565
19 5117909 rejoined 2117
20 5297831 dangling.L 1324
20 5297831 dangling.R 880
20 5297831 random 24101
20 5297831 rejoined 4422
21 5306536 dangling.L 693
21 5306536 dangling.R 509
21 5306536 random 6139
21 5306536 rejoined 4662
22 5388204 dangling.L 255
22 5388204 dangling.R 492
22 5388204 random 13622
22 5388204 rejoined 2102
23 5447198 dangling.L 1288
23 5447198 dangling.R 776
23 5447198 random 43718
23 5447198 rejoined 1400
24 5457064 dangling.L 274
24 5457064 dangling.R 1000
24 5457064 random 32543
24 5457064 rejoined 1577
25 5460107 dangling.L 926
25 5460107 dangling.R 1057
25 5460107 random 46304
25 5460107 rejoined 2642
26 5474190 dangling.L 588
26 5474190 dangling.R 728
26 5474190 random 4233
26 5474190 rejoined 2086
27 5560076 dangling.L 2523
27 5560076 dangling.R 759
27 5560076 random 3765
27 5560076 rejoined 3153
28 5567574 dangling.L 550
28 5567574 dangling.R 61
28 5567574 random 8010
28 5567574 rejoined 1172
29 5654312 dangling.L 1277
29 5654312 dangling.R 524
29 5654312 random 20894
29 5654312 rejoined 2251
30 5695578 dangling.L 1366
30 5695578 dangling.R 630
30 5695578 random 12563
30 5695578 rejoined 4316
31 5725818 dangling.L 1327
31 5725818 dangling.R 849
31 5725818 random 15360
31 5725818 rejoined 3855
32 5770902 dangling.L 588
32 5770902 dangling.R 154
32 5770902 random 25755
32 5770902 rejoined 976
33 5893608 dangling.R 1368
33 5893608 random 26177
33 5893608 rejoined 2793
34 5924317 dangling.L 960
34 5924317 dangling.R 238
34 5924317 random 20321
34 5924317 rejoined 2463
35 6400083 dangling.L 3346
35 6400083 dangling.R 1185
35 6400083 random 26113
35 6400083 rejoined 6037
36 6418238 dangling.L 106
36 6418238 dangling.R 243
36 6418238 random 2954
36 6418238 rejoined 844
37 6497535 dangling.L 408
37 6497535 dangling.R 89
37 6497535 random 4177
37 6497535 rejoined 697
38 6502053 dangling.L 762
38 6502053 dangling.R 1403
38 6502053 random 22318
38 6502053 rejoined 4703
39 6529093 dangling.L 707
39 6529093 dangling.R 645
39 6529093 random 49272
39 6529093 rejoined 2838
40 6903935 dangling.L 482
40 6903935 dangling.R 1067
40 6903935 random 3312
40 6903935 rejoined 4358
41 6914592 dangling.L 97
41 6914592 dangling.R 1313
41 6914592 random 12101
41 6914592 rejoined 2691
42 6995799 dangling.L 108
42 6995799 dangling.R 812
42 6995799 random 9693
42 6995799 rejoined 2194
43 7008506 dangling.L 446
43 7008506 dangling.R 905
43 7008506 random 13045
43 7008506 rejoined 2804
44 7130758 dangling.L 816
44 7130758 dangling.R 204
44 7130758 random 10672
44 7130758 rejoined 1631
45 7239810 dangling.L 17
45 7239810 dangling.R 457
45 7239810 random 1894
45 7239810 rejoined 1176
46 7491615 dangling.L 19
46 7491615 dangling.R 52
46 7491615 random 1978
46 7491615 rejoined 118
47 7496929 dangling.L 165
47 7496929 dangling.R 363
47 7496929 random 11316
47 7496929 rejoined 1072
48 7631449 dangling.L 1346
48 7631449 dangling.R 416
48 7631449 random 8919
48 7631449 rejoined 4442
49 7686559 dangling.L 685
49 7686559 dangling.R 697
49 7686559 random 26391
49 7686559 rejoined 2544
50 9003684 dangling.L 113
50 9003684 dangling.R 937
50 9003684 random 16049
50 9003684 rejoined 1522
51 10092218 dangling.L 361
51 10092218 dangling.R 586
51 10092218 random 26580
51 10092218 rejoined 4912
52 10115538 dangling.L 159
52 10115538 dangling.R 134
52 10115538 random 7533
52 10115538 rejoined 792
53 10378868 dangling.L 335
53 10378868 dangling.R 304
53 10378868 random 3699
53 10378868 rejoined 1060
54 10463080 dangling.L 631
54 10463080 dangling.R 373
54 10463080 random 903
54 10463080 rejoined 1637
55 10531438 dangling.L 81
55 10531438 dangling.R 54
55 10531438 random 8007
55 10531438 rejoined 190
56 10943770 dangling.L 1324
56 10943770 dangling.R 358
56 10943770 random 11476
56 10943770 rejoined 2507
57 11014796 dangling.L 51
57 11014796 dangling.R 887
57 11014796 random 24529
57 11014796 rejoined 984
58 12085372 dangling.L 1431
58 12085372 dangling.R 750
58 12085372 random 48993
58 12085372 rejoined 2218
59 12575987 dangling.L 779
59 12575987 dangling.R 1664
59 12575987 random 15313
59 12575987 rejoined 4921
60 12670557 dangling.L 1332
60 12670557 dangling.R 691
60 12670557 random 20823
60 12670557 rejoined 5492
61 16509657 dangling.L 1241
61 16509657 dangling.R 336
61 16509657 random 16669
61 16509657 rejoined 3553
62 16854924 dangling.L 2402
62 16854924 dangling.R 474
62 16854924 random 12718
62 16854924 rejoined 1140
63 17030108 dangling.L 654
63 17030108 dangling.R 970
63 17030108 random 6067
63 17030108 rejoined 3007
64 17430658 dangling.L 1202
64 17430658 dangling.R 1023
64 17430658 random 18882
64 17430658 rejoined 4411
