idx pos category N Nmod
649 1352681 dangling.L 731 0.589958348759209
649 1352681 dangling.R 858 0.69245453246977
649 1352681 rejoined 144 0.517504707795649
649 1352681 contact.close 2069 0.909053890756419
649 1352681 contact.down 2107 0.925749902283119
649 1352681 contact.far 1416 0.622146113731797
649 1352681 contact.up 1402 0.615994951590381
650 1353101 dangling.L 2897 2.33804286779129
650 1353101 dangling.R 1681 1.35666208517679
650 1353101 rejoined 378 1.35844985796358
650 1353101 contact.close 2663 1.17003891304221
650 1353101 contact.down 2571 1.12961699039862
650 1353101 contact.far 3581 1.57337940202935
650 1353101 contact.up 3578 1.57206129585619
651 1353826 dangling.L 1477 1.19202254598817
651 1353826 dangling.R 1418 1.14440620867382
651 1353826 rejoined 205 0.736725452070195
651 1353826 contact.down 1707 0.750002412528374
651 1353826 contact.far 1620 0.711777333506717
651 1353826 contact.up 1538 0.675749098106995
651 1353826 contact.close 1809 0.794818022415834
652 1354737 dangling.L 1439 1.16135439653147
652 1354737 dangling.R 554 0.447109336816145
652 1354737 rejoined 206 0.740319234763221
652 1354737 contact.down 1871 0.82205888332782
652 1354737 contact.far 1906 0.83743678868136
652 1354737 contact.up 1917 0.842269844649615
652 1354737 contact.close 1695 0.744729987835732
653 1355449 dangling.L 940 0.758633170771076
653 1355449 dangling.R 630 0.508445635729551
653 1355449 rejoined 336 1.20751098485652
653 1355449 contact.down 3024 1.32865102254587
653 1355449 contact.far 1592 0.699475009223885
653 1355449 contact.up 1652 0.725837132687097
653 1355449 contact.close 3053 1.34139271555309
654 1356001 dangling.L 1892 1.52695102031795
654 1356001 dangling.R 2292 1.84977364617799
654 1356001 rejoined 601 2.15986339850823
654 1356001 contact.close 3734 1.64060281686054
654 1356001 contact.down 3755 1.64982956007267
654 1356001 contact.far 3974 1.74605131071339
654 1356001 contact.up 4077 1.79130628932524
