id pos dangling.L dangling.R rejoined
1 35400487 7 49 36
2 35401074 6 49 18
3 35401151 31 182 12
4 35401284 20 67 20
5 35401587 20 37 23
6 35401827 54 77 10
7 35401996 138 37 31
8 35402131 115 15 8
9 35403593 17 83 14
10 35403612 166 56 17
11 35403877 35 108 25
12 35404053 8 30 16
13 35404473 29 26 12
14 35404810 49 63 16
15 35404908 71 61 39
16 35405125 73 94 19
17 35405916 56 72 55
18 35406229 69 110 23
19 35406401 25 24 40
20 35406742 169 104 42
21 35407160 60 102 21
22 35407389 33 100 24
23 35407657 167 46 20
24 35407884 59 107 26
25 35408171 32 55 18
26 35408336 78 62 33
27 35408540 56 219 17
28 35408878 61 70 21
29 35409052 99 47 38
30 35409307 106 92 47
31 35409577 40 92 15
32 35410097 22 38 5
33 35410826 30 33 34
34 35411203 30 43 25
35 35411378 33 47 11
36 35411912 28 45 14
37 35412152 30 27 23
38 35412325 48 47 34
39 35412758 47 69 16
40 35414126 18 49 20
41 35414982 2 75 8
42 35415206 4 3 4
43 35415222 13 3 4
44 35415329 32 12 3
45 35415462 44 26 7
46 35415727 28 52 12
47 35415767 93 8 17
48 35415906 72 48 5
49 35417127 109 56 55
50 35417381 65 87 19
51 35418194 6 71 5
52 35418205 23 39 4
53 35418340 38 35 3
54 35418412 53 17 10
55 35418615 57 59 22
56 35418794 4 36 10
57 35418800 16 8 10
58 35419313 33 46 13
59 35419559 48 31 26
60 35419725 23 29 13
61 35420128 87 43 23
62 35420297 120 14 16
63 35420878 12 160 10
64 35420902 11 83 3
65 35420925 45 37 20
66 35420993 20 27 13
67 35421025 15 8 12
68 35421753 32 126 15
69 35421905 28 111 12
70 35422068 31 56 6
71 35422184 13 58 2
72 35422196 20 13 0
73 35422228 58 11 5
74 35422435 38 22 12
75 35422610 46 17 27
76 35422829 34 96 21
77 35423250 19 50 10
78 35423676 5 3 10
79 35423847 34 7 22
80 35423976 48 25 19
81 35424141 54 46 23
82 35424548 7 88 21
83 35424569 40 18 0
84 35424723 29 64 8
85 35424789 53 38 4
86 35424868 80 17 29
87 35425088 49 34 20
88 35425814 55 75 38
89 35427021 18 3 26
90 35427776 54 37 68
91 35427950 29 71 9
92 35428892 62 21 30
93 35429821 79 35 14
94 35429900 70 114 43
95 35430106 53 275 16
96 35430156 56 79 17
97 35430727 45 40 36
98 35431163 4 60 4
99 35431761 4 38 9
100 35431779 39 22 4
101 35431863 55 39 13
102 35431949 76 40 8
103 35432037 64 25 21
104 35432504 86 60 18
105 35433313 24 56 39
106 35433780 47 52 23
107 35434822 8 122 15
108 35434846 25 19 31
109 35434997 6 35 16
110 35435414 36 34 23
111 35435710 9 62 15
112 35435851 10 34 5
113 35435945 45 44 9
114 35436043 41 37 1
115 35436099 55 25 33
116 35436488 77 134 28
117 35436939 166 95 41
118 35437432 123 90 63
119 35437799 23 158 20
120 35438983 63 39 13
121 35439115 50 129 12
122 35439285 60 9 52
123 35439474 55 39 7
124 35440503 16 80 37
125 35440763 47 83 13
126 35440851 28 50 2
127 35440910 37 33 12
128 35441104 39 58 17
129 35441384 44 47 23
130 35441461 43 59 6
131 35442053 11 47 3
132 35442064 50 15 15
133 35442312 66 161 35
134 35442487 19 62 4
135 35443341 32 2 5
136 35443381 25 1 16
137 35443769 45 36 47
138 35443976 11 34 7
139 35445646 96 44 58
140 35445685 98 64 5
141 35446641 59 56 27
142 35446739 78 73 30
143 35447039 71 66 28
144 35447440 136 131 40
145 35447699 94 73 37
146 35448425 67 71 47
147 35449042 90 33 31
148 35449741 52 143 17
149 35449819 78 189 12
150 35449909 202 104 25
151 35450146 295 181 34
152 35450326 109 110 9
153 35450998 37 79 31
154 35451174 22 69 24
155 35451397 93 62 10
156 35452143 70 72 36
157 35452294 19 38 11
158 35453727 2 32 1
159 35453737 13 2 12
160 35453751 31 12 13
161 35454358 34 13 45
162 35455240 25 29 15
163 35455417 35 11 13
164 35455569 15 7 35
165 35455903 3 151 19
166 35456413 26 16 23
167 35456755 63 115 22
168 35457019 2 120 35
169 35457023 37 75 2
170 35457140 13 95 13
171 35457398 51 112 5
172 35457589 105 29 25
173 35457666 60 26 0
174 35458640 15 36 9
175 35458708 46 62 15
176 35458822 57 44 17
177 35459090 109 142 26
178 35459520 131 66 44
179 35460055 97 110 35
180 35460365 83 156 29
181 35460462 10 87 34
182 35460630 64 92 6
183 35461736 7 42 23
184 35461882 19 95 9
185 35462402 78 41 27
186 35463086 33 48 19
187 35463250 21 39 22
188 35463406 16 50 4
189 35463422 33 7 20
190 35463810 61 56 26
191 35463979 83 57 15
192 35464609 50 20 25
193 35464796 43 73 28
194 35465211 32 87 17
195 35465871 42 50 7
196 35465990 12 27 6
197 35466030 12 9 13
198 35466163 14 8 13
199 35466317 9 93 3
200 35466356 7 28 3
201 35466557 60 51 7
202 35466689 50 59 15
203 35466957 14 41 19
204 35467121 40 52 25
205 35467296 53 66 17
206 35467481 35 44 8
207 35467783 35 71 14
208 35467846 65 27 17
209 35468138 32 118 11
210 35468192 127 60 2
